2019-12-11 08:09:08.7281||DEBUG|Xpandion.WebSite.EntryPoint|Initialization |url: |action: 
2019-12-11 08:09:09.5521||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2019-12-11 08:09:09.5521||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2019-12-11 08:09:09.5521||INFO|Microsoft.Hosting.Lifetime|Content root path: D:\Programming\Visual Studio\Xpandion\Xpandion |url: |action: 
2019-12-11 08:09:46.4505||DEBUG|Xpandion.WebSite.EntryPoint|Initialization |url: |action: 
2019-12-11 08:09:47.5327||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2019-12-11 08:09:47.5397||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2019-12-11 08:09:47.5518||INFO|Microsoft.Hosting.Lifetime|Content root path: D:\Programming\Visual Studio\Xpandion\Xpandion |url: |action: 
2019-12-11 08:09:52.2883||INFO|Xpandion.WebSite.Controllers.MainController|Start processing 7 files |url: http://localhost/|action: Index
